incident_id,incident_type,baseline_rank,simulated_rank,rank_change,baseline_score,simulated_score,score_delta,baseline_risk_level,simulated_risk_level,risk_level_changed,baseline_dominant_factors,simulated_dominant_factors,dominant_factors_changed,scenario_name
INC-0021,Multi-stage Attack,1,1,0,90.2,90.2,0.0,CRITICAL,CRITICAL,False,business_impact | asset_importance | severity,business_impact | asset_importance | severity,False,baseline
INC-0106,Failed Login Event,45,45,0,56.85,56.85,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0013,Unauthorized Access Event,46,46,0,56.4,56.4,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0108,Suspicious Email Event,47,47,0,55.35,55.35,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0085,Malware Infection,48,48,0,52.9,52.9,0.0,HIGH,HIGH,False,attack_confidence | business_impact | asset_importance,attack_confidence | business_impact | asset_importance,False,baseline
INC-0039,Suspicious DNS Event,49,49,0,48.75,48.75,0.0,MEDIUM,MEDIUM,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,baseline
INC-0103,Failed Login Event,50,50,0,47.15,47.15,0.0,MEDIUM,MEDIUM,False,business_impact | asset_importance | attack_confidence,business_impact | asset_importance | attack_confidence,False,baseline
INC-0101,Malware Infection,51,51,0,46.9,46.9,0.0,MEDIUM,MEDIUM,False,attack_confidence | business_impact | asset_importance,attack_confidence | business_impact | asset_importance,False,baseline
INC-0070,Unauthorized Access Event,52,52,0,45.9,45.9,0.0,MEDIUM,MEDIUM,False,asset_importance | business_impact | attack_confidence,asset_importance | business_impact | attack_confidence,False,baseline
INC-0090,Unauthorized Access Event,53,53,0,45.9,45.9,0.0,MEDIUM,MEDIUM,False,business_impact | asset_importance | attack_confidence,business_impact | asset_importance | attack_confidence,False,baseline
INC-0094,Unauthorized Access Event,54,54,0,44.2,44.2,0.0,MEDIUM,MEDIUM,False,attack_confidence | business_impact | asset_importance,attack_confidence | business_impact | asset_importance,False,baseline
INC-0065,Malware Infection,55,55,0,44.05,44.05,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0072,Suspicious DNS Event,56,56,0,43.65,43.65,0.0,MEDIUM,MEDIUM,False,attack_confidence | business_impact | asset_importance,attack_confidence | business_impact | asset_importance,False,baseline
INC-0091,Successful Login Event,57,57,0,42.6,42.6,0.0,MEDIUM,MEDIUM,False,attack_confidence | business_impact | asset_importance,attack_confidence | business_impact | asset_importance,False,baseline
INC-0053,Suspicious Email Event,58,58,0,42.4,42.4,0.0,MEDIUM,MEDIUM,False,attack_confidence | business_impact | asset_importance,attack_confidence | business_impact | asset_importance,False,baseline
INC-0105,Malware Infection,59,59,0,42.35,42.35,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0075,Port Scan Event,60,60,0,41.2,41.2,0.0,MEDIUM,MEDIUM,False,attack_confidence | business_impact | asset_importance,attack_confidence | business_impact | asset_importance,False,baseline
INC-0097,Suspicious Email Event,61,61,0,38.6,38.6,0.0,MEDIUM,MEDIUM,False,business_impact | asset_importance | attack_confidence,business_impact | asset_importance | attack_confidence,False,baseline
INC-0111,Malware Infection,62,62,0,37.68,37.68,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | business_impact,attack_confidence | severity | business_impact,False,baseline
INC-0062,Suspicious DNS Event,63,63,0,37.35,37.35,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0100,Malware Infection,64,64,0,34.81,34.81,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | severity,attack_confidence | asset_importance | severity,False,baseline
INC-0080,Port Scan Event,65,65,0,33.95,33.95,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0018,Failed Login Event,66,66,0,32.65,32.65,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | business_impact,attack_confidence | severity | business_impact,False,baseline
INC-0020,Successful Login Event,67,67,0,32.31,32.31,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0030,Malware Infection,68,68,0,31.8,31.8,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0079,Malware Infection,69,69,0,31.36,31.36,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0040,Malware Infection,70,70,0,31.32,31.32,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | business_impact,attack_confidence | severity | business_impact,False,baseline
INC-0005,Successful Login Event,71,71,0,31.28,31.28,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0016,Malware Infection,72,72,0,31.15,31.15,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0038,Suspicious DNS Event,73,73,0,31.12,31.12,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0041,Successful Login Event,74,74,0,30.31,30.31,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0067,Command and Control Event,75,75,0,30.15,30.15,0.0,MEDIUM,MEDIUM,False,severity | attack_confidence | asset_importance,severity | attack_confidence | asset_importance,False,baseline
INC-0064,Command and Control Event,76,76,0,30.02,30.02,0.0,MEDIUM,MEDIUM,False,severity | attack_confidence | business_impact,severity | attack_confidence | business_impact,False,baseline
INC-0025,Malware Infection,77,77,0,29.95,29.95,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0078,Failed Login Event,78,78,0,29.9,29.9,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0068,Suspicious Email Event,79,79,0,29.86,29.86,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0061,Malware Infection,80,80,0,29.72,29.72,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | business_impact,attack_confidence | severity | business_impact,False,baseline
INC-0086,Successful Login Event,81,81,0,29.68,29.68,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0027,Malware Infection,82,82,0,29.65,29.65,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0044,Successful Login Event,83,83,0,29.5,29.5,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0083,Suspicious DNS Event,84,84,0,29.05,29.05,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0046,Malware Infection,85,85,0,28.85,28.85,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0024,Command and Control Event,86,86,0,28.34,28.34,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0104,Suspicious Email Event,87,87,0,28.32,28.32,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | severity,attack_confidence | asset_importance | severity,False,baseline
INC-0092,Unauthorized Access Event,88,88,0,28.22,28.22,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0048,Failed Login Event,89,89,0,27.88,27.88,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0076,Command and Control Event,90,90,0,27.81,27.81,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0071,Malware Infection,91,91,0,27.77,27.77,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0051,Suspicious Email Event,92,92,0,27.12,27.12,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | business_impact,attack_confidence | severity | business_impact,False,baseline
INC-0084,Port Scan Event,93,93,0,26.77,26.77,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0055,Suspicious Email Event,94,94,0,26.68,26.68,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0019,Suspicious Email Event,95,95,0,26.67,26.67,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0043,Successful Login Event,96,96,0,26.6,26.6,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0006,Malware Infection,97,97,0,26.25,26.25,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0023,Malware Infection,98,98,0,26.07,26.07,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | severity,attack_confidence | asset_importance | severity,False,baseline
INC-0029,Port Scan Event,99,99,0,26.02,26.02,0.0,MEDIUM,MEDIUM,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0060,Unauthorized Access Event,100,100,0,25.8,25.8,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0102,Command and Control Event,101,101,0,25.7,25.7,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0003,Port Scan Event,102,102,0,25.68,25.68,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0057,Malware Infection,103,103,0,25.51,25.51,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0052,Port Scan Event,104,104,0,25.36,25.36,0.0,MEDIUM,MEDIUM,False,asset_importance | attack_confidence | business_impact,asset_importance | attack_confidence | business_impact,False,baseline
INC-0089,Suspicious Email Event,105,105,0,25.25,25.25,0.0,MEDIUM,MEDIUM,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0010,Suspicious Email Event,106,106,0,24.37,24.37,0.0,LOW,LOW,False,attack_confidence | business_impact | asset_importance,attack_confidence | business_impact | asset_importance,False,baseline
INC-0034,Malware Infection,107,107,0,23.9,23.9,0.0,LOW,LOW,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0049,Port Scan Event,108,108,0,22.48,22.48,0.0,LOW,LOW,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0082,Suspicious Email Event,109,109,0,22.4,22.4,0.0,LOW,LOW,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0004,Port Scan Event,110,110,0,22.06,22.06,0.0,LOW,LOW,False,attack_confidence | asset_importance | business_impact,attack_confidence | asset_importance | business_impact,False,baseline
INC-0014,Port Scan Event,111,111,0,21.55,21.55,0.0,LOW,LOW,False,attack_confidence | severity | asset_importance,attack_confidence | severity | asset_importance,False,baseline
INC-0021,Multi-stage Attack,1,1,0,90.2,76.91,-13.29,CRITICAL,CRITICAL,False,business_impact | asset_importance | severity,business_impact | asset_importance | data_sensitivity,True,user_impact_focus
INC-0001,Data Exfiltration,2,2,0,89.5,76.38,-13.12,CRITICAL,CRITICAL,False,severity | business_impact | asset_importance,data_sensitivity | attack_confidence | severity,True,user_impact_focus
INC-0028,Data Exfiltration,3,3,0,86.55,73.98,-12.57,CRITICAL,HIGH,True,severity | business_impact | asset_importance,attack_confidence | severity | data_sensitivity,True,user_impact_focus
INC-0058,Multi-stage Attack,4,4,0,85.95,73.53,-12.42,CRITICAL,HIGH,True,severity | business_impact | asset_importance,attack_confidence | data_sensitivity | severity,True,user_impact_focus
INC-0012,Multi-stage Attack,7,5,2,78.84,68.85,-9.99,CRITICAL,HIGH,True,severity | business_impact | asset_importance,attack_confidence | severity | data_sensitivity,True,user_impact_focus
INC-0033,Ransomware Outbreak,5,6,-1,79.45,68.28,-11.17,CRITICAL,HIGH,True,severity | business_impact | asset_importance,attack_confidence | severity | data_sensitivity,True,user_impact_focus
INC-0066,Data Exfiltration,6,7,-1,78.85,67.83,-11.02,CRITICAL,HIGH,True,severity | business_impact | asset_importance,attack_confidence | severity | data_sensitivity,True,user_impact_focus
INC-0045,DDoS Attack,8,8,0,78.34,67.72,-10.62,CRITICAL,HIGH,True,asset_importance | severity | business_impact,attack_confidence | asset_importance | severity,True,user_impact_focus
INC-0042,Malware Infection,9,9,0,76.0,65.81,-10.19,CRITICAL,HIGH,True,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,user_impact_focus
INC-0026,Malware Infection,11,10,1,74.3,64.53,-9.77,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,data_sensitivity | attack_confidence | business_impact,True,user_impact_focus
INC-0008,Unauthorized Access Event,10,11,-1,74.35,63.71,-10.64,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,user_impact_focus
INC-0073,Successful Login Event,12,12,0,72.6,63.63,-8.97,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,data_sensitivity | attack_confidence | business_impact,True,user_impact_focus
INC-0031,Failed Login Event,13,13,0,72.3,62.21,-10.09,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,user_impact_focus
INC-0098,Malware Infection,15,14,1,71.35,62.13,-9.22,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,data_sensitivity | business_impact | asset_importance,True,user_impact_focus
INC-0017,Suspicious DNS Event,14,15,-1,72.05,61.91,-10.14,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,user_impact_focus
INC-0054,Suspicious Email Event,16,16,0,71.25,61.31,-9.94,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,user_impact_focus
INC-0096,Malware Infection,17,17,0,70.15,60.26,-9.89,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0107,Suspicious Email Event,19,18,1,68.1,58.76,-9.34,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0059,Command and Control Event,18,19,-1,68.7,58.61,-10.09,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0002,Suspicious DNS Event,20,20,0,67.65,58.61,-9.04,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0047,Malware Infection,21,21,0,66.9,57.63,-9.27,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,data_sensitivity | business_impact | asset_importance,True,user_impact_focus
INC-0050,Malware Infection,22,22,0,65.25,56.66,-8.59,HIGH,HIGH,False,asset_importance | business_impact | attack_confidence,attack_confidence | asset_importance | business_impact,True,user_impact_focus
INC-0099,Port Scan Event,23,23,0,64.8,55.91,-8.89,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0037,Unauthorized Access Event,26,24,2,63.89,55.88,-8.01,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0011,Suspicious DNS Event,25,25,0,64.35,55.61,-8.74,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0110,Port Scan Event,24,26,-2,64.7,55.31,-9.39,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0087,Malware Infection,27,27,0,63.15,54.71,-8.44,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0093,Suspicious Email Event,29,28,1,61.95,53.81,-8.14,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0069,Port Scan Event,28,29,-1,62.0,53.51,-8.49,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0095,Suspicious Email Event,30,30,0,61.45,53.21,-8.24,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0081,Unauthorized Access Event,32,31,1,61.4,52.76,-8.64,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0074,Unauthorized Access Event,33,32,1,61.05,52.76,-8.29,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0056,Failed Login Event,38,33,5,60.5,52.76,-7.74,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0036,Successful Login Event,42,34,8,59.75,52.61,-7.14,HIGH,HIGH,False,asset_importance | business_impact | attack_confidence,attack_confidence | asset_importance | business_impact,True,user_impact_focus
INC-0015,Unauthorized Access Event,31,35,-4,61.4,52.46,-8.94,HIGH,HIGH,False,asset_importance | business_impact | attack_confidence,asset_importance | business_impact | attack_confidence,False,user_impact_focus
INC-0009,Unauthorized Access Event,35,36,-1,60.65,52.38,-8.27,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,data_sensitivity | business_impact | asset_importance,True,user_impact_focus
INC-0109,Suspicious DNS Event,36,37,-1,60.65,52.38,-8.27,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,data_sensitivity | business_impact | asset_importance,True,user_impact_focus
INC-0032,Suspicious DNS Event,34,38,-4,60.75,52.16,-8.59,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0035,Failed Login Event,37,39,-2,60.6,52.01,-8.59,HIGH,HIGH,False,asset_importance | business_impact | attack_confidence,asset_importance | business_impact | attack_confidence,False,user_impact_focus
INC-0007,Failed Login Event,43,40,3,59.6,51.86,-7.74,HIGH,HIGH,False,asset_importance | business_impact | attack_confidence,asset_importance | business_impact | attack_confidence,False,user_impact_focus
INC-0077,Command and Control Event,39,41,-2,60.2,51.41,-8.79,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
INC-0063,Command and Control Event,41,42,-1,59.95,51.11,-8.84,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,user_impact_focus
