incident_id,incident_type,alert_count,unique_users,unique_assets,first_seen,last_seen,duration_seconds,maximum_severity,average_severity,maximum_confidence,incident_confidence,affected_users,normalized_affected_users,incident_asset_importance,incident_data_sensitivity,incident_business_impact,cluster_score,observed_stages,alert_ids
INC-0083,Suspicious DNS Event,1,1,1,2026-09-01T16:54:49+00:00,2026-09-01T16:54:49+00:00,0,32,32.0,64,64.0,1,10.03,26.6,13.0,23.9,100.0,Command & Control,alt_0105
INC-0084,Port Scan Event,1,1,1,2026-09-01T16:56:10+00:00,2026-09-01T16:56:10+00:00,0,15,15.0,70,70.0,1,10.03,27.0,13.0,24.6,100.0,Recon / Initial Access,alt_0085
INC-0085,Malware Infection,1,1,1,2026-09-01T16:59:21+00:00,2026-09-01T16:59:21+00:00,0,30,30.0,86,86.0,1,10.03,60.0,60.0,60.0,100.0,Execution,alt_0094
INC-0086,Successful Login Event,1,1,1,2026-09-01T17:12:38+00:00,2026-09-01T17:12:38+00:00,0,15,15.0,97,97.0,1,10.03,24.2,13.0,21.7,100.0,Authentication,alt_0074
INC-0087,Malware Infection,1,1,1,2026-09-01T17:13:51+00:00,2026-09-01T17:13:51+00:00,0,30,30.0,69,69.0,1,10.03,85.0,80.0,84.0,100.0,Execution,alt_0158
INC-0088,Malware Infection,1,1,1,2026-09-01T17:16:24+00:00,2026-09-01T17:16:24+00:00,0,38,38.0,58,58.0,1,10.03,90.0,50.0,82.0,100.0,Execution,alt_0049
INC-0089,Suspicious Email Event,1,1,1,2026-09-01T17:39:25+00:00,2026-09-01T17:39:25+00:00,0,33,33.0,69,69.0,1,10.03,15.0,10.0,14.0,100.0,Recon / Initial Access,alt_0144
INC-0090,Unauthorized Access Event,1,1,1,2026-09-01T17:39:30+00:00,2026-09-01T17:39:30+00:00,0,38,38.0,59,59.0,1,10.03,50.0,55.0,51.0,100.0,Collection / Internal Access,alt_0136
INC-0091,Successful Login Event,1,1,1,2026-09-01T17:39:54+00:00,2026-09-01T17:39:54+00:00,0,9,9.0,94,94.0,1,10.03,45.0,50.0,46.0,100.0,Authentication,alt_0081
INC-0092,Unauthorized Access Event,1,1,1,2026-09-01T17:50:03+00:00,2026-09-01T17:50:03+00:00,0,32,32.0,63,63.0,1,10.03,22.6,17.0,21.5,100.0,Collection / Internal Access,alt_0131
INC-0093,Suspicious Email Event,1,1,1,2026-09-01T17:54:48+00:00,2026-09-01T17:54:48+00:00,0,24,24.0,69,69.0,1,10.03,85.0,80.0,84.0,100.0,Recon / Initial Access,alt_0092
INC-0094,Unauthorized Access Event,1,1,1,2026-09-01T18:21:43+00:00,2026-09-01T18:21:43+00:00,0,41,41.0,62,62.0,1,10.03,45.0,50.0,46.0,100.0,Collection / Internal Access,alt_0093
INC-0095,Suspicious Email Event,1,1,1,2026-09-01T18:29:47+00:00,2026-09-01T18:29:47+00:00,0,26,26.0,63,63.0,1,10.03,85.0,80.0,84.0,100.0,Recon / Initial Access,alt_0051
INC-0096,Malware Infection,1,1,1,2026-09-01T18:38:29+00:00,2026-09-01T18:38:29+00:00,0,39,39.0,67,67.0,1,10.03,95.0,90.0,94.0,100.0,Execution,alt_0123
INC-0097,Suspicious Email Event,1,1,1,2026-09-01T18:40:29+00:00,2026-09-01T18:40:29+00:00,0,19,19.0,54,54.0,1,10.03,45.0,50.0,46.0,100.0,Recon / Initial Access,alt_0130
INC-0098,Malware Infection,1,1,1,2026-09-01T18:47:51+00:00,2026-09-01T18:47:51+00:00,0,30,30.0,88,88.0,1,10.03,92.0,95.0,92.5,100.0,Execution,alt_0147
INC-0099,Port Scan Event,1,1,1,2026-09-01T19:01:47+00:00,2026-09-01T19:01:47+00:00,0,19,19.0,58,58.0,1,10.03,95.0,90.0,94.0,100.0,Recon / Initial Access,alt_0071
INC-0100,Malware Infection,1,1,1,2026-09-01T19:03:05+00:00,2026-09-01T19:03:05+00:00,0,33,33.0,89,89.0,1,10.03,33.2,10.0,28.6,100.0,Execution,alt_0146
INC-0101,Malware Infection,1,1,1,2026-09-01T19:06:38+00:00,2026-09-01T19:06:38+00:00,0,31,31.0,75,75.0,1,10.03,50.0,55.0,51.0,100.0,Execution,alt_0077
INC-0102,Command and Control Event,1,1,1,2026-09-01T19:10:11+00:00,2026-09-01T19:10:11+00:00,0,35,35.0,51,51.0,1,10.03,20.0,15.0,19.0,100.0,Command & Control,alt_0142
INC-0103,Failed Login Event,1,1,1,2026-09-01T19:18:19+00:00,2026-09-01T19:18:19+00:00,0,17,17.0,65,65.0,1,10.03,60.0,60.0,60.0,100.0,Authentication,alt_0089
INC-0104,Suspicious Email Event,1,1,1,2026-09-01T19:24:34+00:00,2026-09-01T19:24:34+00:00,0,25,25.0,67,67.0,1,10.03,27.0,13.0,24.6,100.0,Recon / Initial Access,alt_0061
INC-0105,Malware Infection,1,1,1,2026-09-01T19:24:37+00:00,2026-09-01T19:24:37+00:00,0,37,37.0,86,86.0,1,10.03,40.0,35.0,39.0,100.0,Execution,alt_0110
INC-0106,Failed Login Event,1,1,1,2026-09-01T19:25:21+00:00,2026-09-01T19:25:21+00:00,0,17,17.0,69,69.0,1,10.03,80.0,70.0,78.0,100.0,Authentication,alt_0119
INC-0107,Suspicious Email Event,1,1,1,2026-09-01T19:27:52+00:00,2026-09-01T19:27:52+00:00,0,18,18.0,63,63.0,1,10.03,100.0,95.0,99.0,100.0,Recon / Initial Access,alt_0057
INC-0108,Suspicious Email Event,1,1,1,2026-09-01T19:28:09+00:00,2026-09-01T19:28:09+00:00,0,22,22.0,53,53.0,1,10.03,85.0,60.0,80.0,100.0,Recon / Initial Access,alt_0101
INC-0109,Suspicious DNS Event,1,1,1,2026-09-01T19:44:59+00:00,2026-09-01T19:44:59+00:00,0,40,40.0,52,52.0,1,10.03,77.0,85.0,78.5,100.0,Command & Control,alt_0154
INC-0110,Port Scan Event,1,1,1,2026-09-01T19:50:07+00:00,2026-09-01T19:50:07+00:00,0,29,29.0,44,44.0,1,10.03,95.0,90.0,94.0,100.0,Recon / Initial Access,alt_0069
INC-0111,Malware Infection,3,3,1,2026-09-01T19:51:37+00:00,2026-09-01T19:58:57+00:00,440,45,35.33,92,96.0,3,20.07,22.0,23.0,22.1,52.59,Execution -> Command & Control,"alt_0096, alt_0117, alt_0099"
