incident_id,incident_type,risk_score,risk_level,dominant_factors,risk_explanation,sev_val,sev_contrib,asset_imp_val,asset_imp_contrib,aff_users_val,aff_users_contrib,data_sens_val,data_sens_contrib,attack_conf_val,attack_conf_contrib,biz_impact_val,biz_impact_contrib,alert_count,affected_users,cluster_score
INC-0021,Multi-stage Attack,90.2,CRITICAL,business_impact | asset_importance | severity,"CRITICAL risk level (90.20/100). Primary risk drivers are Business Impact (20.00 pts, CRITICAL), Asset Importance (20.00 pts, CRITICAL), Severity (19.20 pts, CRITICAL).",96.0,19.2,100.0,20.0,10.03,1.003,100.0,15.0,100.0,15.0,100.0,20.0,9,1,84.53
INC-0073,Successful Login Event,72.6,HIGH,business_impact | asset_importance | data_sensitivity,"HIGH risk level (72.60/100). Primary risk drivers are Business Impact (19.50 pts, CRITICAL), Asset Importance (19.40 pts, CRITICAL), Data Sensitivity (15.00 pts, CRITICAL).",15.0,3.0,97.0,19.4,10.03,1.003,100.0,15.0,98.0,14.7,97.5,19.5,1,1,100.0
INC-0031,Failed Login Event,72.3,HIGH,business_impact | asset_importance | data_sensitivity,"HIGH risk level (72.30/100). Primary risk drivers are Business Impact (20.00 pts, CRITICAL), Asset Importance (20.00 pts, CRITICAL), Data Sensitivity (15.00 pts, CRITICAL).",32.0,6.4,100.0,20.0,10.03,1.003,100.0,15.0,66.0,9.9,100.0,20.0,1,1,100.0
INC-0017,Suspicious DNS Event,72.05,HIGH,business_impact | asset_importance | data_sensitivity,"HIGH risk level (72.05/100). Primary risk drivers are Business Impact (20.00 pts, CRITICAL), Asset Importance (20.00 pts, CRITICAL), Data Sensitivity (15.00 pts, CRITICAL).",33.0,6.6,100.0,20.0,10.03,1.003,100.0,15.0,63.0,9.45,100.0,20.0,1,1,100.0
INC-0098,Malware Infection,71.35,HIGH,business_impact | asset_importance | data_sensitivity,"HIGH risk level (71.35/100). Primary risk drivers are Business Impact (18.50 pts, CRITICAL), Asset Importance (18.40 pts, CRITICAL), Data Sensitivity (14.25 pts, CRITICAL).",30.0,6.0,92.0,18.4,10.03,1.003,95.0,14.25,88.0,13.2,92.5,18.5,1,1,100.0
INC-0054,Suspicious Email Event,71.25,HIGH,business_impact | asset_importance | data_sensitivity,"HIGH risk level (71.25/100). Primary risk drivers are Business Impact (20.00 pts, CRITICAL), Asset Importance (20.00 pts, CRITICAL), Data Sensitivity (15.00 pts, CRITICAL).",29.0,5.8,100.0,20.0,10.03,1.003,100.0,15.0,63.0,9.45,100.0,20.0,1,1,100.0
INC-0096,Malware Infection,70.15,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (70.15/100). Primary risk drivers are Asset Importance (19.00 pts, CRITICAL), Business Impact (18.80 pts, CRITICAL), Data Sensitivity (13.50 pts, CRITICAL).",39.0,7.8,95.0,19.0,10.03,1.003,90.0,13.5,67.0,10.05,94.0,18.8,1,1,100.0
INC-0059,Command and Control Event,68.7,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (68.70/100). Primary risk drivers are Asset Importance (19.00 pts, CRITICAL), Business Impact (18.80 pts, CRITICAL), Data Sensitivity (13.50 pts, CRITICAL).",43.0,8.6,95.0,19.0,10.03,1.003,90.0,13.5,52.0,7.8,94.0,18.8,1,1,100.0
INC-0107,Suspicious Email Event,68.1,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (68.10/100). Primary risk drivers are Asset Importance (20.00 pts, CRITICAL), Business Impact (19.80 pts, CRITICAL), Data Sensitivity (14.25 pts, CRITICAL).",18.0,3.6,100.0,20.0,10.03,1.003,95.0,14.25,63.0,9.45,99.0,19.8,1,1,100.0
INC-0002,Suspicious DNS Event,67.65,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (67.65/100). Primary risk drivers are Asset Importance (19.00 pts, CRITICAL), Business Impact (18.80 pts, CRITICAL), Data Sensitivity (13.50 pts, CRITICAL).",22.0,4.4,95.0,19.0,10.03,1.003,90.0,13.5,73.0,10.95,94.0,18.8,1,1,100.0
INC-0047,Malware Infection,66.9,HIGH,business_impact | asset_importance | data_sensitivity,"HIGH risk level (66.90/100). Primary risk drivers are Business Impact (18.50 pts, CRITICAL), Asset Importance (18.40 pts, CRITICAL), Data Sensitivity (14.25 pts, CRITICAL).",31.0,6.2,92.0,18.4,10.03,1.003,95.0,14.25,57.0,8.55,92.5,18.5,1,1,100.0
INC-0050,Malware Infection,65.25,HIGH,asset_importance | business_impact | attack_confidence,"HIGH risk level (65.25/100). Primary risk drivers are Asset Importance (16.00 pts, CRITICAL), Business Impact (15.40 pts, CRITICAL), Attack Confidence (14.10 pts, CRITICAL).",45.0,9.0,80.0,16.0,10.03,1.003,65.0,9.75,94.0,14.1,77.0,15.4,2,1,54.73
INC-0099,Port Scan Event,64.8,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (64.80/100). Primary risk drivers are Asset Importance (19.00 pts, CRITICAL), Business Impact (18.80 pts, CRITICAL), Data Sensitivity (13.50 pts, CRITICAL).",19.0,3.8,95.0,19.0,10.03,1.003,90.0,13.5,58.0,8.7,94.0,18.8,1,1,100.0
INC-0110,Port Scan Event,64.7,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (64.70/100). Primary risk drivers are Asset Importance (19.00 pts, CRITICAL), Business Impact (18.80 pts, CRITICAL), Data Sensitivity (13.50 pts, CRITICAL).",29.0,5.8,95.0,19.0,10.03,1.003,90.0,13.5,44.0,6.6,94.0,18.8,1,1,100.0
INC-0011,Suspicious DNS Event,64.35,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (64.35/100). Primary risk drivers are Asset Importance (17.00 pts, CRITICAL), Business Impact (16.60 pts, CRITICAL), Data Sensitivity (11.25 pts, CRITICAL).",37.0,7.4,85.0,17.0,10.03,1.003,75.0,11.25,74.0,11.1,83.0,16.6,1,1,100.0
INC-0037,Unauthorized Access Event,63.89,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (63.89/100). Primary risk drivers are Asset Importance (17.00 pts, CRITICAL), Business Impact (16.80 pts, CRITICAL), Data Sensitivity (12.00 pts, CRITICAL).",39.0,7.8,85.0,17.0,15.9,1.59,80.0,12.0,58.0,8.7,84.0,16.8,2,2,49.51
INC-0087,Malware Infection,63.15,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (63.15/100). Primary risk drivers are Asset Importance (17.00 pts, CRITICAL), Business Impact (16.80 pts, CRITICAL), Data Sensitivity (12.00 pts, CRITICAL).",30.0,6.0,85.0,17.0,10.03,1.003,80.0,12.0,69.0,10.35,84.0,16.8,1,1,100.0
INC-0069,Port Scan Event,62.0,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (62.00/100). Primary risk drivers are Asset Importance (19.00 pts, CRITICAL), Business Impact (18.80 pts, CRITICAL), Data Sensitivity (13.50 pts, CRITICAL).",11.0,2.2,95.0,19.0,10.03,1.003,90.0,13.5,50.0,7.5,94.0,18.8,1,1,100.0
INC-0093,Suspicious Email Event,61.95,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (61.95/100). Primary risk drivers are Asset Importance (17.00 pts, CRITICAL), Business Impact (16.80 pts, CRITICAL), Data Sensitivity (12.00 pts, CRITICAL).",24.0,4.8,85.0,17.0,10.03,1.003,80.0,12.0,69.0,10.35,84.0,16.8,1,1,100.0
INC-0095,Suspicious Email Event,61.45,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (61.45/100). Primary risk drivers are Asset Importance (17.00 pts, CRITICAL), Business Impact (16.80 pts, CRITICAL), Data Sensitivity (12.00 pts, CRITICAL).",26.0,5.2,85.0,17.0,10.03,1.003,80.0,12.0,63.0,9.45,84.0,16.8,1,1,100.0
INC-0015,Unauthorized Access Event,61.4,HIGH,asset_importance | business_impact | attack_confidence,"HIGH risk level (61.40/100). Primary risk drivers are Asset Importance (17.00 pts, CRITICAL), Business Impact (16.00 pts, CRITICAL), Attack Confidence (9.60 pts, HIGH).",44.0,8.8,85.0,17.0,10.03,1.003,60.0,9.0,64.0,9.6,80.0,16.0,1,1,100.0
INC-0081,Unauthorized Access Event,61.4,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (61.40/100). Primary risk drivers are Asset Importance (17.00 pts, CRITICAL), Business Impact (16.80 pts, CRITICAL), Data Sensitivity (12.00 pts, CRITICAL).",34.0,6.8,85.0,17.0,10.03,1.003,80.0,12.0,52.0,7.8,84.0,16.8,1,1,100.0
INC-0074,Unauthorized Access Event,61.05,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (61.05/100). Primary risk drivers are Asset Importance (17.00 pts, CRITICAL), Business Impact (16.80 pts, CRITICAL), Data Sensitivity (12.00 pts, CRITICAL).",27.0,5.4,85.0,17.0,10.03,1.003,80.0,12.0,59.0,8.85,84.0,16.8,1,1,100.0
INC-0032,Suspicious DNS Event,60.75,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (60.75/100). Primary risk drivers are Asset Importance (17.00 pts, CRITICAL), Business Impact (16.60 pts, CRITICAL), Data Sensitivity (11.25 pts, CRITICAL).",34.0,6.8,85.0,17.0,10.03,1.003,75.0,11.25,54.0,8.1,83.0,16.6,1,1,100.0
INC-0009,Unauthorized Access Event,60.65,HIGH,business_impact | asset_importance | data_sensitivity,"HIGH risk level (60.65/100). Primary risk drivers are Business Impact (15.70 pts, CRITICAL), Asset Importance (15.40 pts, CRITICAL), Data Sensitivity (12.75 pts, CRITICAL).",40.0,8.0,77.0,15.4,10.03,1.003,85.0,12.75,52.0,7.8,78.5,15.7,1,1,100.0
INC-0109,Suspicious DNS Event,60.65,HIGH,business_impact | asset_importance | data_sensitivity,"HIGH risk level (60.65/100). Primary risk drivers are Business Impact (15.70 pts, CRITICAL), Asset Importance (15.40 pts, CRITICAL), Data Sensitivity (12.75 pts, CRITICAL).",40.0,8.0,77.0,15.4,10.03,1.003,85.0,12.75,52.0,7.8,78.5,15.7,1,1,100.0
INC-0035,Failed Login Event,60.6,HIGH,asset_importance | business_impact | attack_confidence,"HIGH risk level (60.60/100). Primary risk drivers are Asset Importance (18.00 pts, CRITICAL), Business Impact (16.40 pts, CRITICAL), Attack Confidence (11.70 pts, CRITICAL).",30.0,6.0,90.0,18.0,10.03,1.003,50.0,7.5,78.0,11.7,82.0,16.4,2,1,54.35
INC-0056,Failed Login Event,60.5,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (60.50/100). Primary risk drivers are Asset Importance (17.00 pts, CRITICAL), Business Impact (16.60 pts, CRITICAL), Data Sensitivity (11.25 pts, CRITICAL).",17.0,3.4,85.0,17.0,10.03,1.003,75.0,11.25,75.0,11.25,83.0,16.6,1,1,100.0
INC-0077,Command and Control Event,60.2,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (60.20/100). Primary risk drivers are Asset Importance (17.00 pts, CRITICAL), Business Impact (16.00 pts, CRITICAL), Data Sensitivity (9.00 pts, HIGH).",41.0,8.2,85.0,17.0,10.03,1.003,60.0,9.0,60.0,9.0,80.0,16.0,1,1,100.0
INC-0022,Command and Control Event,59.95,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (59.95/100). Primary risk drivers are Asset Importance (17.00 pts, CRITICAL), Business Impact (16.00 pts, CRITICAL), Data Sensitivity (9.00 pts, HIGH).",45.0,9.0,85.0,17.0,10.03,1.003,60.0,9.0,53.0,7.95,80.0,16.0,1,1,100.0
INC-0063,Command and Control Event,59.95,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (59.95/100). Primary risk drivers are Asset Importance (17.00 pts, CRITICAL), Business Impact (16.60 pts, CRITICAL), Data Sensitivity (11.25 pts, CRITICAL).",39.0,7.8,85.0,17.0,10.03,1.003,75.0,11.25,42.0,6.3,83.0,16.6,1,1,100.0
INC-0036,Successful Login Event,59.75,HIGH,asset_importance | business_impact | attack_confidence,"HIGH risk level (59.75/100). Primary risk drivers are Asset Importance (16.00 pts, CRITICAL), Business Impact (15.60 pts, CRITICAL), Attack Confidence (13.65 pts, CRITICAL).",15.0,3.0,80.0,16.0,10.03,1.003,70.0,10.5,91.0,13.65,78.0,15.6,1,1,100.0
INC-0007,Failed Login Event,59.6,HIGH,asset_importance | business_impact | attack_confidence,"HIGH risk level (59.60/100). Primary risk drivers are Asset Importance (16.00 pts, CRITICAL), Business Impact (15.60 pts, CRITICAL), Attack Confidence (11.10 pts, HIGH).",27.0,5.4,80.0,16.0,10.03,1.003,70.0,10.5,74.0,11.1,78.0,15.6,1,1,100.0
INC-0088,Malware Infection,59.2,HIGH,asset_importance | business_impact | attack_confidence,"HIGH risk level (59.20/100). Primary risk drivers are Asset Importance (18.00 pts, CRITICAL), Business Impact (16.40 pts, CRITICAL), Attack Confidence (8.70 pts, HIGH).",38.0,7.6,90.0,18.0,10.03,1.003,50.0,7.5,58.0,8.7,82.0,16.4,1,1,100.0
INC-0106,Failed Login Event,56.85,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (56.85/100). Primary risk drivers are Asset Importance (16.00 pts, CRITICAL), Business Impact (15.60 pts, CRITICAL), Data Sensitivity (10.50 pts, HIGH).",17.0,3.4,80.0,16.0,10.03,1.003,70.0,10.5,69.0,10.35,78.0,15.6,1,1,100.0
INC-0013,Unauthorized Access Event,56.4,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (56.40/100). Primary risk drivers are Asset Importance (18.00 pts, CRITICAL), Business Impact (16.40 pts, CRITICAL), Data Sensitivity (7.50 pts, HIGH).",30.0,6.0,90.0,18.0,10.03,1.003,50.0,7.5,50.0,7.5,82.0,16.4,1,1,100.0
INC-0108,Suspicious Email Event,55.35,HIGH,asset_importance | business_impact | data_sensitivity,"HIGH risk level (55.35/100). Primary risk drivers are Asset Importance (17.00 pts, CRITICAL), Business Impact (16.00 pts, CRITICAL), Data Sensitivity (9.00 pts, HIGH).",22.0,4.4,85.0,17.0,10.03,1.003,60.0,9.0,53.0,7.95,80.0,16.0,1,1,100.0
INC-0085,Malware Infection,52.9,HIGH,attack_confidence | business_impact | asset_importance,"HIGH risk level (52.90/100). Primary risk drivers are Attack Confidence (12.90 pts, CRITICAL), Business Impact (12.00 pts, HIGH), Asset Importance (12.00 pts, HIGH).",30.0,6.0,60.0,12.0,10.03,1.003,60.0,9.0,86.0,12.9,60.0,12.0,1,1,100.0
INC-0039,Suspicious DNS Event,48.75,MEDIUM,business_impact | asset_importance | data_sensitivity,"MEDIUM risk level (48.75/100). Primary risk drivers are Business Impact (12.00 pts, HIGH), Asset Importance (12.00 pts, HIGH), Data Sensitivity (9.00 pts, HIGH).",31.0,6.2,60.0,12.0,10.03,1.003,60.0,9.0,57.0,8.55,60.0,12.0,2,1,54.47
INC-0103,Failed Login Event,47.15,MEDIUM,business_impact | asset_importance | attack_confidence,"MEDIUM risk level (47.15/100). Primary risk drivers are Business Impact (12.00 pts, HIGH), Asset Importance (12.00 pts, HIGH), Attack Confidence (9.75 pts, HIGH).",17.0,3.4,60.0,12.0,10.03,1.003,60.0,9.0,65.0,9.75,60.0,12.0,1,1,100.0
INC-0101,Malware Infection,46.9,MEDIUM,attack_confidence | business_impact | asset_importance,"MEDIUM risk level (46.90/100). Primary risk drivers are Attack Confidence (11.25 pts, CRITICAL), Business Impact (10.20 pts, HIGH), Asset Importance (10.00 pts, HIGH).",31.0,6.2,50.0,10.0,10.03,1.003,55.0,8.25,75.0,11.25,51.0,10.2,1,1,100.0
INC-0070,Unauthorized Access Event,45.9,MEDIUM,asset_importance | business_impact | attack_confidence,"MEDIUM risk level (45.90/100). Primary risk drivers are Asset Importance (10.60 pts, HIGH), Business Impact (10.30 pts, HIGH), Attack Confidence (9.45 pts, HIGH).",39.0,7.8,53.0,10.6,10.03,1.003,45.0,6.75,63.0,9.45,51.5,10.3,1,1,100.0
INC-0090,Unauthorized Access Event,45.9,MEDIUM,business_impact | asset_importance | attack_confidence,"MEDIUM risk level (45.90/100). Primary risk drivers are Business Impact (10.20 pts, HIGH), Asset Importance (10.00 pts, HIGH), Attack Confidence (8.85 pts, HIGH).",38.0,7.6,50.0,10.0,10.03,1.003,55.0,8.25,59.0,8.85,51.0,10.2,1,1,100.0
INC-0094,Unauthorized Access Event,44.2,MEDIUM,attack_confidence | business_impact | asset_importance,"MEDIUM risk level (44.20/100). Primary risk drivers are Attack Confidence (9.30 pts, HIGH), Business Impact (9.20 pts, MEDIUM), Asset Importance (9.00 pts, MEDIUM).",41.0,8.2,45.0,9.0,10.03,1.003,50.0,7.5,62.0,9.3,46.0,9.2,1,1,100.0
INC-0065,Malware Infection,44.05,MEDIUM,attack_confidence | asset_importance | business_impact,"MEDIUM risk level (44.05/100). Primary risk drivers are Attack Confidence (10.80 pts, HIGH), Asset Importance (10.60 pts, HIGH), Business Impact (10.30 pts, HIGH).",23.0,4.6,53.0,10.6,10.03,1.003,45.0,6.75,72.0,10.8,51.5,10.3,1,1,100.0
INC-0072,Suspicious DNS Event,43.65,MEDIUM,attack_confidence | business_impact | asset_importance,"MEDIUM risk level (43.65/100). Primary risk drivers are Attack Confidence (9.75 pts, HIGH), Business Impact (9.20 pts, MEDIUM), Asset Importance (9.00 pts, MEDIUM).",36.0,7.2,45.0,9.0,10.03,1.003,50.0,7.5,65.0,9.75,46.0,9.2,1,1,100.0
INC-0091,Successful Login Event,42.6,MEDIUM,attack_confidence | business_impact | asset_importance,"MEDIUM risk level (42.60/100). Primary risk drivers are Attack Confidence (14.10 pts, CRITICAL), Business Impact (9.20 pts, MEDIUM), Asset Importance (9.00 pts, MEDIUM).",9.0,1.8,45.0,9.0,10.03,1.003,50.0,7.5,94.0,14.1,46.0,9.2,1,1,100.0
INC-0053,Suspicious Email Event,42.4,MEDIUM,attack_confidence | business_impact | asset_importance,"MEDIUM risk level (42.40/100). Primary risk drivers are Attack Confidence (10.50 pts, HIGH), Business Impact (9.20 pts, MEDIUM), Asset Importance (9.00 pts, MEDIUM).",26.0,5.2,45.0,9.0,10.03,1.003,50.0,7.5,70.0,10.5,46.0,9.2,1,1,100.0
INC-0105,Malware Infection,42.35,MEDIUM,attack_confidence | asset_importance | business_impact,"MEDIUM risk level (42.35/100). Primary risk drivers are Attack Confidence (12.90 pts, CRITICAL), Asset Importance (8.00 pts, MEDIUM), Business Impact (7.80 pts, MEDIUM).",37.0,7.4,40.0,8.0,10.03,1.003,35.0,5.25,86.0,12.9,39.0,7.8,1,1,100.0
INC-0075,Port Scan Event,41.2,MEDIUM,attack_confidence | business_impact | asset_importance,"MEDIUM risk level (41.20/100). Primary risk drivers are Attack Confidence (9.90 pts, HIGH), Business Impact (9.20 pts, MEDIUM), Asset Importance (9.00 pts, MEDIUM).",23.0,4.6,45.0,9.0,10.03,1.003,50.0,7.5,66.0,9.9,46.0,9.2,1,1,100.0
INC-0097,Suspicious Email Event,38.6,MEDIUM,business_impact | asset_importance | attack_confidence,"MEDIUM risk level (38.60/100). Primary risk drivers are Business Impact (9.20 pts, MEDIUM), Asset Importance (9.00 pts, MEDIUM), Attack Confidence (8.10 pts, HIGH).",19.0,3.8,45.0,9.0,10.03,1.003,50.0,7.5,54.0,8.1,46.0,9.2,1,1,100.0
INC-0111,Malware Infection,37.68,MEDIUM,attack_confidence | severity | business_impact,"MEDIUM risk level (37.68/100). Primary risk drivers are Attack Confidence (14.40 pts, CRITICAL), Severity (9.00 pts, MEDIUM), Business Impact (4.42 pts, LOW).",45.0,9.0,22.0,4.4,20.07,2.007,23.0,3.45,96.0,14.4,22.1,4.42,3,3,52.59
INC-0062,Suspicious DNS Event,37.35,MEDIUM,attack_confidence | asset_importance | business_impact,"MEDIUM risk level (37.35/100). Primary risk drivers are Attack Confidence (10.50 pts, HIGH), Asset Importance (8.00 pts, MEDIUM), Business Impact (7.80 pts, MEDIUM).",24.0,4.8,40.0,8.0,10.03,1.003,35.0,5.25,70.0,10.5,39.0,7.8,1,1,100.0
INC-0100,Malware Infection,34.81,MEDIUM,attack_confidence | asset_importance | severity,"MEDIUM risk level (34.81/100). Primary risk drivers are Attack Confidence (13.35 pts, CRITICAL), Asset Importance (6.64 pts, MEDIUM), Severity (6.60 pts, MEDIUM).",33.0,6.6,33.2,6.64,10.03,1.003,10.0,1.5,89.0,13.35,28.6,5.72,1,1,100.0
INC-0080,Port Scan Event,33.95,MEDIUM,attack_confidence | asset_importance | business_impact,"MEDIUM risk level (33.95/100). Primary risk drivers are Attack Confidence (9.90 pts, HIGH), Asset Importance (8.00 pts, MEDIUM), Business Impact (7.80 pts, MEDIUM).",10.0,2.0,40.0,8.0,10.03,1.003,35.0,5.25,66.0,9.9,39.0,7.8,1,1,100.0
INC-0018,Failed Login Event,32.65,MEDIUM,attack_confidence | severity | business_impact,"MEDIUM risk level (32.65/100). Primary risk drivers are Attack Confidence (11.25 pts, CRITICAL), Severity (5.60 pts, MEDIUM), Business Impact (5.22 pts, MEDIUM).",28.0,5.6,25.4,5.08,10.03,1.003,30.0,4.5,75.0,11.25,26.1,5.22,1,1,100.0
INC-0020,Successful Login Event,32.31,MEDIUM,attack_confidence | asset_importance | business_impact,"MEDIUM risk level (32.31/100). Primary risk drivers are Attack Confidence (14.85 pts, CRITICAL), Asset Importance (6.64 pts, MEDIUM), Business Impact (5.72 pts, MEDIUM).",13.0,2.6,33.2,6.64,10.03,1.003,10.0,1.5,99.0,14.85,28.6,5.72,1,1,100.0
INC-0030,Malware Infection,31.8,MEDIUM,attack_confidence | severity | asset_importance,"MEDIUM risk level (31.80/100). Primary risk drivers are Attack Confidence (13.50 pts, CRITICAL), Severity (10.00 pts, HIGH), Asset Importance (3.00 pts, LOW).",50.0,10.0,15.0,3.0,10.03,1.003,10.0,1.5,90.0,13.5,14.0,2.8,1,1,100.0
INC-0079,Malware Infection,31.36,MEDIUM,attack_confidence | severity | asset_importance,"MEDIUM risk level (31.36/100). Primary risk drivers are Attack Confidence (12.90 pts, CRITICAL), Severity (6.80 pts, MEDIUM), Asset Importance (4.44 pts, LOW).",34.0,6.8,22.2,4.44,10.03,1.003,14.0,2.1,86.0,12.9,20.6,4.12,1,1,100.0
INC-0040,Malware Infection,31.32,MEDIUM,attack_confidence | severity | business_impact,"MEDIUM risk level (31.32/100). Primary risk drivers are Attack Confidence (11.25 pts, CRITICAL), Severity (6.80 pts, MEDIUM), Business Impact (4.42 pts, LOW).",34.0,6.8,22.0,4.4,10.03,1.003,23.0,3.45,75.0,11.25,22.1,4.42,1,1,100.0
INC-0005,Successful Login Event,31.28,MEDIUM,attack_confidence | asset_importance | business_impact,"MEDIUM risk level (31.28/100). Primary risk drivers are Attack Confidence (14.70 pts, CRITICAL), Asset Importance (5.00 pts, MEDIUM), Business Impact (4.64 pts, LOW).",14.0,2.8,25.0,5.0,15.9,1.59,17.0,2.55,98.0,14.7,23.2,4.64,2,2,46.6
INC-0016,Malware Infection,31.15,MEDIUM,attack_confidence | severity | asset_importance,"MEDIUM risk level (31.15/100). Primary risk drivers are Attack Confidence (8.70 pts, HIGH), Severity (8.00 pts, MEDIUM), Asset Importance (5.68 pts, MEDIUM).",40.0,8.0,28.4,5.68,10.03,1.003,17.0,2.55,58.0,8.7,26.1,5.22,1,1,100.0
