alert_a,alert_b,correlation_score,same_user,same_asset,same_source_ip,same_destination_ip,temporal_proximity,related_alert_types,attack_progression,evidence_count,evidence_summary
alt_0015,alt_0020,76.98,1.0,1.0,1.0,1.0,0.7985,0.0,0.0,5,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 9.0 minutes of each other
alt_0014,alt_0020,76.83,1.0,1.0,1.0,1.0,0.7886,0.0,0.0,5,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 9.5 minutes of each other
alt_0013,alt_0020,76.68,1.0,1.0,1.0,1.0,0.7788,0.0,0.0,5,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 10.0 minutes of each other
alt_0037,alt_0039,76.68,1.0,1.0,1.0,1.0,0.7788,0.0,0.0,5,Same user involved (usr_sales_vp) | Same target asset affected (ast_cloud_01) | Same source IP address (103.22.200.5) | Same destination IP address (10.0.0.50) | Occurred within 10.0 minutes of each other
alt_0029,alt_0030,73.8,1.0,1.0,0.0,1.0,0.92,1.0,0.0,5,Same user involved (usr_devops) | Same target asset affected (ast_file_01) | Same destination IP address (10.0.3.15) | Occurred within 3.3 minutes of each other | Related alert categories (Lateral Movement and Ransomware Indicator)
alt_0036,alt_0037,73.24,1.0,1.0,0.0,1.0,0.8825,1.0,0.0,5,Same user involved (usr_sales_vp) | Same target asset affected (ast_cloud_01) | Same destination IP address (10.0.0.50) | Occurred within 5.0 minutes of each other | Related alert categories (Successful Login and Impossible Travel)
alt_0006,alt_0007,73.24,1.0,1.0,0.0,0.0,0.8825,1.0,1.0,5,Same user involved (usr_fin_mgr) | Same target asset affected (ast_db_fin) | Occurred within 5.0 minutes of each other | Related alert categories (Unauthorized Access and Data Exfiltration) | Plausible attack progression: Unauthorized Access (Collection / Internal Access) -> Data Exfiltration (Exfiltration / Impact)
alt_0036,alt_0039,70.31,1.0,1.0,0.0,1.0,0.6873,1.0,0.0,5,Same user involved (usr_sales_vp) | Same target asset affected (ast_cloud_01) | Same destination IP address (10.0.0.50) | Occurred within 15.0 minutes of each other | Related alert categories (Successful Login and New Admin Account)
alt_0028,alt_0029,68.69,1.0,0.0,1.0,0.0,0.9124,1.0,1.0,5,Same user involved (usr_devops) | Same source IP address (10.0.2.20) | Occurred within 3.7 minutes of each other | Related alert categories (Ransomware Indicator and Lateral Movement) | Plausible attack progression: Ransomware Indicator (Execution) -> Lateral Movement (Lateral Movement)
alt_0002,alt_0003,68.57,1.0,0.0,1.0,0.0,0.9048,1.0,1.0,5,Same user involved (usr_fin_mgr) | Same source IP address (192.168.1.105) | Occurred within 4.0 minutes of each other | Related alert categories (Credential Theft and Successful Login) | Plausible attack progression: Credential Theft (Credential Access / PrivEsc) -> Successful Login (Authentication)
alt_0024,alt_0025,68.24,1.0,0.0,1.0,0.0,0.8825,1.0,1.0,5,Same user involved (usr_009) | Same source IP address (10.0.2.5) | Occurred within 5.0 minutes of each other | Related alert categories (Web Server Compromise and Unauthorized Access) | Plausible attack progression: Web Server Compromise (Collection / Internal Access) -> Unauthorized Access (Collection / Internal Access)
alt_0039,alt_0040,68.24,1.0,0.0,1.0,0.0,0.8825,1.0,1.0,5,Same user involved (usr_sales_vp) | Same source IP address (103.22.200.5) | Occurred within 5.0 minutes of each other | Related alert categories (New Admin Account and Unauthorized Access) | Plausible attack progression: New Admin Account (Credential Access / PrivEsc) -> Unauthorized Access (Collection / Internal Access)
alt_0025,alt_0026,68.24,1.0,0.0,1.0,0.0,0.8825,1.0,1.0,5,Same user involved (usr_009) | Same source IP address (10.0.2.5) | Occurred within 5.0 minutes of each other | Related alert categories (Unauthorized Access and Data Exfiltration) | Plausible attack progression: Unauthorized Access (Collection / Internal Access) -> Data Exfiltration (Exfiltration / Impact)
alt_0029,alt_0031,67.96,1.0,0.0,1.0,0.0,0.8643,1.0,1.0,5,Same user involved (usr_devops) | Same source IP address (10.0.2.20) | Occurred within 5.8 minutes of each other | Related alert categories (Lateral Movement and Lateral Movement) | Plausible attack progression: Lateral Movement (Lateral Movement) -> Lateral Movement (Lateral Movement)
alt_0041,alt_0042,67.44,1.0,0.0,1.0,0.0,0.829,1.0,1.0,5,Same user involved (usr_insider) | Same source IP address (192.168.1.110) | Occurred within 7.5 minutes of each other | Related alert categories (Unauthorized Access and Unusual File Access) | Plausible attack progression: Unauthorized Access (Collection / Internal Access) -> Unusual File Access (Collection / Internal Access)
alt_0002,alt_0004,66.98,1.0,0.0,1.0,0.0,0.7985,1.0,1.0,5,Same user involved (usr_fin_mgr) | Same source IP address (192.168.1.105) | Occurred within 9.0 minutes of each other | Related alert categories (Credential Theft and Privilege Escalation) | Plausible attack progression: Credential Theft (Credential Access / PrivEsc) -> Privilege Escalation (Credential Access / PrivEsc)
alt_0009,alt_0011,66.88,1.0,1.0,1.0,0.0,0.7919,0.0,0.0,4,Same user involved (usr_hr_spec) | Same target asset affected (ast_wkst_02) | Same source IP address (192.168.1.106) | Occurred within 9.3 minutes of each other
alt_0028,alt_0031,66.83,1.0,0.0,1.0,0.0,0.7886,1.0,1.0,5,Same user involved (usr_devops) | Same source IP address (10.0.2.20) | Occurred within 9.5 minutes of each other | Related alert categories (Ransomware Indicator and Lateral Movement) | Plausible attack progression: Ransomware Indicator (Execution) -> Lateral Movement (Lateral Movement)
alt_0024,alt_0026,66.68,1.0,1.0,1.0,0.0,0.7788,0.0,0.0,4,Same user involved (usr_009) | Same target asset affected (ast_web_01) | Same source IP address (10.0.2.5) | Occurred within 10.0 minutes of each other
alt_0055,alt_0107,66.47,1.0,1.0,0.0,0.0,0.4312,1.0,1.0,5,Same user involved (usr_033) | Same target asset affected (ast_wkst_01) | Occurred within 33.6 minutes of each other | Related alert categories (Suspicious Email and Suspicious PowerShell) | Plausible attack progression: Suspicious Email (Recon / Initial Access) -> Suspicious PowerShell (Execution)
alt_0041,alt_0044,63.37,1.0,0.0,1.0,0.0,0.558,1.0,1.0,5,Same user involved (usr_insider) | Same source IP address (192.168.1.110) | Occurred within 23.3 minutes of each other | Related alert categories (Unauthorized Access and Data Exfiltration) | Plausible attack progression: Unauthorized Access (Collection / Internal Access) -> Data Exfiltration (Exfiltration / Impact)
alt_0008,alt_0010,62.28,1.0,1.0,0.0,1.0,0.8187,0.0,0.0,4,Same user involved (usr_hr_spec) | Same target asset affected (ast_wkst_02) | Same destination IP address (192.168.1.106) | Occurred within 8.0 minutes of each other
alt_0019,alt_0021,61.93,1.0,1.0,0.0,1.0,0.7952,0.0,0.0,4,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same destination IP address (10.0.1.99) | Occurred within 9.2 minutes of each other
alt_0022,alt_0024,61.68,1.0,1.0,0.0,1.0,0.7788,0.0,0.0,4,Same user involved (usr_009) | Same target asset affected (ast_web_01) | Same destination IP address (10.0.2.5) | Occurred within 10.0 minutes of each other
alt_0018,alt_0021,61.2,1.0,1.0,0.0,1.0,0.747,0.0,0.0,4,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same destination IP address (10.0.1.99) | Occurred within 11.7 minutes of each other
alt_0017,alt_0021,60.84,1.0,1.0,0.0,1.0,0.7225,0.0,0.0,4,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same destination IP address (10.0.1.99) | Occurred within 13.0 minutes of each other
alt_0016,alt_0021,60.7,1.0,1.0,0.0,1.0,0.7136,0.0,0.0,4,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same destination IP address (10.0.1.99) | Occurred within 13.5 minutes of each other
alt_0015,alt_0021,60.57,1.0,1.0,0.0,1.0,0.7047,0.0,0.0,4,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same destination IP address (10.0.1.99) | Occurred within 14.0 minutes of each other
alt_0014,alt_0021,60.44,1.0,1.0,0.0,1.0,0.6959,0.0,0.0,4,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same destination IP address (10.0.1.99) | Occurred within 14.5 minutes of each other
alt_0013,alt_0021,60.31,1.0,1.0,0.0,1.0,0.6873,0.0,0.0,4,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same destination IP address (10.0.1.99) | Occurred within 15.0 minutes of each other
alt_0011,alt_0012,57.7,1.0,0.0,1.0,0.0,0.8465,1.0,0.0,4,Same user involved (usr_hr_spec) | Same source IP address (192.168.1.106) | Occurred within 6.7 minutes of each other | Related alert categories (Command and Control and Lateral Movement)
alt_0054,alt_0134,54.73,1.0,0.0,0.0,0.0,0.9818,1.0,1.0,4,Same user involved (usr_028) | Occurred within 0.7 minutes of each other | Related alert categories (Suspicious PowerShell and Malware Detection) | Plausible attack progression: Suspicious PowerShell (Execution) -> Malware Detection (Execution)
alt_0070,alt_0090,54.47,1.0,0.0,0.0,0.0,0.9648,1.0,1.0,4,Same user involved (usr_045) | Occurred within 1.4 minutes of each other | Related alert categories (Suspicious DNS and Suspicious DNS) | Plausible attack progression: Suspicious DNS (Command & Control) -> Suspicious DNS (Command & Control)
alt_0095,alt_0082,54.35,1.0,1.0,0.0,0.0,0.9568,0.0,0.0,3,Same user involved (usr_049) | Same target asset affected (ast_fw_01) | Occurred within 1.8 minutes of each other
alt_0030,alt_0031,54.09,1.0,0.0,0.0,0.0,0.9394,1.0,1.0,4,Same user involved (usr_devops) | Occurred within 2.5 minutes of each other | Related alert categories (Ransomware Indicator and Lateral Movement) | Plausible attack progression: Ransomware Indicator (Execution) -> Lateral Movement (Lateral Movement)
alt_0034,alt_0035,53.8,1.0,0.0,0.0,0.0,0.92,1.0,1.0,4,Same user involved (usr_015) | Occurred within 3.3 minutes of each other | Related alert categories (DDoS and Command and Control) | Plausible attack progression: DDoS (Command & Control) -> Command and Control (Command & Control)
alt_0033,alt_0034,53.8,1.0,0.0,0.0,0.0,0.92,1.0,1.0,4,Same user involved (usr_015) | Occurred within 3.3 minutes of each other | Related alert categories (DDoS and DDoS) | Plausible attack progression: DDoS (Command & Control) -> DDoS (Command & Control)
alt_0122,alt_0098,53.8,1.0,0.0,0.0,0.0,0.92,1.0,1.0,4,Same user involved (usr_008) | Occurred within 3.3 minutes of each other | Related alert categories (Command and Control and Command and Control) | Plausible attack progression: Command and Control (Command & Control) -> Command and Control (Command & Control)
alt_0004,alt_0005,53.24,1.0,0.0,0.0,0.0,0.8825,1.0,1.0,4,Same user involved (usr_fin_mgr) | Occurred within 5.0 minutes of each other | Related alert categories (Privilege Escalation and Lateral Movement) | Plausible attack progression: Privilege Escalation (Credential Access / PrivEsc) -> Lateral Movement (Lateral Movement)
alt_0032,alt_0034,52.7,1.0,0.0,0.0,0.0,0.8465,1.0,1.0,4,Same user involved (usr_015) | Occurred within 6.7 minutes of each other | Related alert categories (Port Scan and DDoS) | Plausible attack progression: Port Scan (Recon / Initial Access) -> DDoS (Command & Control)
alt_0033,alt_0035,52.7,1.0,0.0,0.0,0.0,0.8465,1.0,1.0,4,Same user involved (usr_015) | Occurred within 6.7 minutes of each other | Related alert categories (DDoS and Command and Control) | Plausible attack progression: DDoS (Command & Control) -> Command and Control (Command & Control)
alt_0096,alt_0099,52.68,0.0,1.0,0.0,0.0,0.8454,1.0,1.0,4,Same target asset affected (ast_wkst_11) | Occurred within 6.7 minutes of each other | Related alert categories (Malware Detection and Command and Control) | Plausible attack progression: Malware Detection (Execution) -> Command and Control (Command & Control)
alt_0106,alt_0124,52.66,0.0,1.0,0.0,0.0,0.8437,1.0,1.0,4,Same target asset affected (ast_wkst_06) | Occurred within 6.8 minutes of each other | Related alert categories (Suspicious Email and Suspicious Email) | Plausible attack progression: Suspicious Email (Recon / Initial Access) -> Suspicious Email (Recon / Initial Access)
alt_0028,alt_0030,52.59,1.0,0.0,0.0,0.0,0.8395,1.0,1.0,4,Same user involved (usr_devops) | Occurred within 7.0 minutes of each other | Related alert categories (Ransomware Indicator and Ransomware Indicator) | Plausible attack progression: Ransomware Indicator (Execution) -> Ransomware Indicator (Execution)
alt_0096,alt_0117,52.49,0.0,1.0,0.0,0.0,0.8325,1.0,1.0,4,Same target asset affected (ast_wkst_11) | Occurred within 7.3 minutes of each other | Related alert categories (Malware Detection and Suspicious PowerShell) | Plausible attack progression: Malware Detection (Execution) -> Suspicious PowerShell (Execution)
alt_0027,alt_0030,51.68,1.0,0.0,0.0,0.0,0.7788,1.0,1.0,4,Same user involved (usr_devops) | Occurred within 10.0 minutes of each other | Related alert categories (Suspicious PowerShell and Ransomware Indicator) | Plausible attack progression: Suspicious PowerShell (Execution) -> Ransomware Indicator (Execution)
alt_0005,alt_0007,51.68,1.0,1.0,0.0,0.0,0.7788,0.0,0.0,3,Same user involved (usr_fin_mgr) | Same target asset affected (ast_db_fin) | Occurred within 10.0 minutes of each other
alt_0004,alt_0006,51.68,1.0,0.0,0.0,0.0,0.7788,1.0,1.0,4,Same user involved (usr_fin_mgr) | Occurred within 10.0 minutes of each other | Related alert categories (Privilege Escalation and Unauthorized Access) | Plausible attack progression: Privilege Escalation (Credential Access / PrivEsc) -> Unauthorized Access (Collection / Internal Access)
alt_0008,alt_0011,50.75,1.0,1.0,0.0,0.0,0.7165,0.0,0.0,3,Same user involved (usr_hr_spec) | Same target asset affected (ast_wkst_02) | Occurred within 13.3 minutes of each other
alt_0023,alt_0026,50.31,1.0,1.0,0.0,0.0,0.6873,0.0,0.0,3,Same user involved (usr_009) | Same target asset affected (ast_web_01) | Occurred within 15.0 minutes of each other
alt_0091,alt_0047,49.51,0.0,1.0,0.0,0.0,0.6342,1.0,1.0,4,Same target asset affected (ast_cloud_01) | Occurred within 18.2 minutes of each other | Related alert categories (Unauthorized Access and Unauthorized Access) | Plausible attack progression: Unauthorized Access (Collection / Internal Access) -> Unauthorized Access (Collection / Internal Access)
