priority_rank,incident_id,risk_score,risk_level,priority_band,incident_type,alert_count,affected_users,first_seen,tie_group_id,dominant_factors,primary_ranking_reason,deciding_factor,next_incident_id,score_difference
1,INC-0021,90.2,CRITICAL,CRITICAL,Multi-stage Attack,9,1,2026-09-01T10:00:00+00:00,,business_impact | asset_importance | severity,Higher risk score,risk_score,INC-0001,0.7
37,INC-0035,60.6,HIGH,HIGH,Failed Login Event,2,1,2026-09-01T12:10:02+00:00,,asset_importance | business_impact | attack_confidence,Higher risk score,risk_score,INC-0056,0.1
38,INC-0056,60.5,HIGH,HIGH,Failed Login Event,1,1,2026-09-01T13:53:38+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0077,0.3
39,INC-0077,60.2,HIGH,HIGH,Command and Control Event,1,1,2026-09-01T16:39:30+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0022,0.25
40,INC-0022,59.95,HIGH,HIGH,Command and Control Event,1,1,2026-09-01T10:19:24+00:00,TG-0003,asset_importance | business_impact | data_sensitivity,Risk scores are tied,maximum_severity,INC-0063,0.0
41,INC-0063,59.95,HIGH,HIGH,Command and Control Event,1,1,2026-09-01T14:41:13+00:00,TG-0003,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0036,0.2
42,INC-0036,59.75,HIGH,HIGH,Successful Login Event,1,1,2026-09-01T12:11:21+00:00,,asset_importance | business_impact | attack_confidence,Higher risk score,risk_score,INC-0007,0.15
43,INC-0007,59.6,HIGH,HIGH,Failed Login Event,1,1,2026-09-01T08:49:31+00:00,,asset_importance | business_impact | attack_confidence,Higher risk score,risk_score,INC-0088,0.4
44,INC-0088,59.2,HIGH,HIGH,Malware Infection,1,1,2026-09-01T17:16:24+00:00,,asset_importance | business_impact | attack_confidence,Higher risk score,risk_score,INC-0106,2.35
45,INC-0106,56.85,HIGH,HIGH,Failed Login Event,1,1,2026-09-01T19:25:21+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0013,0.45
46,INC-0013,56.4,HIGH,HIGH,Unauthorized Access Event,1,1,2026-09-01T09:01:17+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0108,1.05
47,INC-0108,55.35,HIGH,HIGH,Suspicious Email Event,1,1,2026-09-01T19:28:09+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0085,2.45
48,INC-0085,52.9,HIGH,HIGH,Malware Infection,1,1,2026-09-01T16:59:21+00:00,,attack_confidence | business_impact | asset_importance,Higher risk score,risk_score,INC-0039,4.15
49,INC-0039,48.75,MEDIUM,MEDIUM,Suspicious DNS Event,2,1,2026-09-01T12:20:33+00:00,,business_impact | asset_importance | data_sensitivity,Higher risk score,risk_score,INC-0103,1.6
50,INC-0103,47.15,MEDIUM,MEDIUM,Failed Login Event,1,1,2026-09-01T19:18:19+00:00,,business_impact | asset_importance | attack_confidence,Higher risk score,risk_score,INC-0101,0.25
51,INC-0101,46.9,MEDIUM,MEDIUM,Malware Infection,1,1,2026-09-01T19:06:38+00:00,,attack_confidence | business_impact | asset_importance,Higher risk score,risk_score,INC-0070,1.0
52,INC-0070,45.9,MEDIUM,MEDIUM,Unauthorized Access Event,1,1,2026-09-01T15:55:45+00:00,TG-0004,asset_importance | business_impact | attack_confidence,Risk scores are tied,maximum_severity,INC-0090,0.0
53,INC-0090,45.9,MEDIUM,MEDIUM,Unauthorized Access Event,1,1,2026-09-01T17:39:30+00:00,TG-0004,business_impact | asset_importance | attack_confidence,Higher risk score,risk_score,INC-0094,1.7
54,INC-0094,44.2,MEDIUM,MEDIUM,Unauthorized Access Event,1,1,2026-09-01T18:21:43+00:00,,attack_confidence | business_impact | asset_importance,Higher risk score,risk_score,INC-0065,0.15
55,INC-0065,44.05,MEDIUM,MEDIUM,Malware Infection,1,1,2026-09-01T14:49:56+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0072,0.4
56,INC-0072,43.65,MEDIUM,MEDIUM,Suspicious DNS Event,1,1,2026-09-01T16:07:03+00:00,,attack_confidence | business_impact | asset_importance,Higher risk score,risk_score,INC-0091,1.05
57,INC-0091,42.6,MEDIUM,MEDIUM,Successful Login Event,1,1,2026-09-01T17:39:54+00:00,,attack_confidence | business_impact | asset_importance,Higher risk score,risk_score,INC-0053,0.2
58,INC-0053,42.4,MEDIUM,MEDIUM,Suspicious Email Event,1,1,2026-09-01T13:33:20+00:00,,attack_confidence | business_impact | asset_importance,Higher risk score,risk_score,INC-0105,0.05
59,INC-0105,42.35,MEDIUM,MEDIUM,Malware Infection,1,1,2026-09-01T19:24:37+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0075,1.15
60,INC-0075,41.2,MEDIUM,MEDIUM,Port Scan Event,1,1,2026-09-01T16:24:01+00:00,,attack_confidence | business_impact | asset_importance,Higher risk score,risk_score,INC-0097,2.6
61,INC-0097,38.6,MEDIUM,MEDIUM,Suspicious Email Event,1,1,2026-09-01T18:40:29+00:00,,business_impact | asset_importance | attack_confidence,Higher risk score,risk_score,INC-0111,0.92
62,INC-0111,37.68,MEDIUM,MEDIUM,Malware Infection,3,3,2026-09-01T19:51:37+00:00,,attack_confidence | severity | business_impact,Higher risk score,risk_score,INC-0062,0.33
63,INC-0062,37.35,MEDIUM,MEDIUM,Suspicious DNS Event,1,1,2026-09-01T14:34:10+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0100,2.54
64,INC-0100,34.81,MEDIUM,MEDIUM,Malware Infection,1,1,2026-09-01T19:03:05+00:00,,attack_confidence | asset_importance | severity,Higher risk score,risk_score,INC-0080,0.86
65,INC-0080,33.95,MEDIUM,MEDIUM,Port Scan Event,1,1,2026-09-01T16:47:47+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0018,1.3
66,INC-0018,32.65,MEDIUM,MEDIUM,Failed Login Event,1,1,2026-09-01T09:32:47+00:00,,attack_confidence | severity | business_impact,Higher risk score,risk_score,INC-0020,0.34
67,INC-0020,32.31,MEDIUM,MEDIUM,Successful Login Event,1,1,2026-09-01T09:58:12+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0030,0.51
68,INC-0030,31.8,MEDIUM,MEDIUM,Malware Infection,1,1,2026-09-01T11:13:29+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0079,0.44
69,INC-0079,31.36,MEDIUM,MEDIUM,Malware Infection,1,1,2026-09-01T16:47:01+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0040,0.04
70,INC-0040,31.32,MEDIUM,MEDIUM,Malware Infection,1,1,2026-09-01T12:23:37+00:00,,attack_confidence | severity | business_impact,Higher risk score,risk_score,INC-0005,0.04
71,INC-0005,31.28,MEDIUM,MEDIUM,Successful Login Event,2,2,2026-09-01T08:43:34+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0016,0.13
72,INC-0016,31.15,MEDIUM,MEDIUM,Malware Infection,1,1,2026-09-01T09:26:15+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0038,0.03
73,INC-0038,31.12,MEDIUM,MEDIUM,Suspicious DNS Event,1,1,2026-09-01T12:18:34+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0041,0.81
74,INC-0041,30.31,MEDIUM,MEDIUM,Successful Login Event,1,1,2026-09-01T12:38:24+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0067,0.16
75,INC-0067,30.15,MEDIUM,MEDIUM,Command and Control Event,2,1,2026-09-01T15:14:04+00:00,,severity | attack_confidence | asset_importance,Higher risk score,risk_score,INC-0064,0.13
76,INC-0064,30.02,MEDIUM,MEDIUM,Command and Control Event,1,1,2026-09-01T14:45:14+00:00,,severity | attack_confidence | business_impact,Higher risk score,risk_score,INC-0025,0.07
77,INC-0025,29.95,MEDIUM,MEDIUM,Malware Infection,1,1,2026-09-01T10:28:13+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0078,0.05
78,INC-0078,29.9,MEDIUM,MEDIUM,Failed Login Event,1,1,2026-09-01T16:40:59+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0068,0.04
79,INC-0068,29.86,MEDIUM,MEDIUM,Suspicious Email Event,1,1,2026-09-01T15:34:34+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0061,0.14
80,INC-0061,29.72,MEDIUM,MEDIUM,Malware Infection,1,1,2026-09-01T14:20:03+00:00,,attack_confidence | severity | business_impact,Higher risk score,risk_score,INC-0086,0.04
81,INC-0086,29.68,MEDIUM,MEDIUM,Successful Login Event,1,1,2026-09-01T17:12:38+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0027,0.03
82,INC-0027,29.65,MEDIUM,MEDIUM,Malware Infection,1,1,2026-09-01T10:47:06+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0044,0.15
83,INC-0044,29.5,MEDIUM,MEDIUM,Successful Login Event,1,1,2026-09-01T12:49:28+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0083,0.45
84,INC-0083,29.05,MEDIUM,MEDIUM,Suspicious DNS Event,1,1,2026-09-01T16:54:49+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0046,0.2
85,INC-0046,28.85,MEDIUM,MEDIUM,Malware Infection,1,1,2026-09-01T13:01:44+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0024,0.51
86,INC-0024,28.34,MEDIUM,MEDIUM,Command and Control Event,1,1,2026-09-01T10:22:07+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0104,0.02
87,INC-0104,28.32,MEDIUM,MEDIUM,Suspicious Email Event,1,1,2026-09-01T19:24:34+00:00,,attack_confidence | asset_importance | severity,Higher risk score,risk_score,INC-0092,0.1
88,INC-0092,28.22,MEDIUM,MEDIUM,Unauthorized Access Event,1,1,2026-09-01T17:50:03+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0048,0.34
89,INC-0048,27.88,MEDIUM,MEDIUM,Failed Login Event,1,1,2026-09-01T13:05:33+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0076,0.07
90,INC-0076,27.81,MEDIUM,MEDIUM,Command and Control Event,1,1,2026-09-01T16:27:30+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0071,0.04
91,INC-0071,27.77,MEDIUM,MEDIUM,Malware Infection,2,1,2026-09-01T16:02:57+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0051,0.65
92,INC-0051,27.12,MEDIUM,MEDIUM,Suspicious Email Event,1,1,2026-09-01T13:29:13+00:00,,attack_confidence | severity | business_impact,Higher risk score,risk_score,INC-0084,0.35
93,INC-0084,26.77,MEDIUM,MEDIUM,Port Scan Event,1,1,2026-09-01T16:56:10+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0055,0.09
94,INC-0055,26.68,MEDIUM,MEDIUM,Suspicious Email Event,2,2,2026-09-01T13:51:28+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0019,0.01
95,INC-0019,26.67,MEDIUM,MEDIUM,Suspicious Email Event,1,1,2026-09-01T09:55:37+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0043,0.07
96,INC-0043,26.6,MEDIUM,MEDIUM,Successful Login Event,1,1,2026-09-01T12:42:11+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0006,0.35
97,INC-0006,26.25,MEDIUM,MEDIUM,Malware Infection,1,1,2026-09-01T08:46:12+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0023,0.18
98,INC-0023,26.07,MEDIUM,MEDIUM,Malware Infection,1,1,2026-09-01T10:21:06+00:00,,attack_confidence | asset_importance | severity,Higher risk score,risk_score,INC-0029,0.05
99,INC-0029,26.02,MEDIUM,MEDIUM,Port Scan Event,1,1,2026-09-01T11:03:38+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0060,0.22
100,INC-0060,25.8,MEDIUM,MEDIUM,Unauthorized Access Event,1,1,2026-09-01T14:17:26+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0102,0.1
101,INC-0102,25.7,MEDIUM,MEDIUM,Command and Control Event,1,1,2026-09-01T19:10:11+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0003,0.02
102,INC-0003,25.68,MEDIUM,MEDIUM,Port Scan Event,1,1,2026-09-01T08:18:50+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0057,0.17
103,INC-0057,25.51,MEDIUM,MEDIUM,Malware Infection,1,1,2026-09-01T13:56:51+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0052,0.15
104,INC-0052,25.36,MEDIUM,MEDIUM,Port Scan Event,1,1,2026-09-01T13:29:24+00:00,,asset_importance | attack_confidence | business_impact,Higher risk score,risk_score,INC-0089,0.11
105,INC-0089,25.25,MEDIUM,MEDIUM,Suspicious Email Event,1,1,2026-09-01T17:39:25+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0010,0.88
106,INC-0010,24.37,LOW,LOW,Suspicious Email Event,1,1,2026-09-01T08:56:22+00:00,,attack_confidence | business_impact | asset_importance,Higher risk score,risk_score,INC-0034,0.47
107,INC-0034,23.9,LOW,LOW,Malware Infection,1,1,2026-09-01T12:09:34+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0049,1.42
108,INC-0049,22.48,LOW,LOW,Port Scan Event,1,1,2026-09-01T13:16:13+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0082,0.08
109,INC-0082,22.4,LOW,LOW,Suspicious Email Event,1,1,2026-09-01T16:53:16+00:00,,attack_confidence | severity | asset_importance,Higher risk score,risk_score,INC-0004,0.34
110,INC-0004,22.06,LOW,LOW,Port Scan Event,1,1,2026-09-01T08:41:47+00:00,,attack_confidence | asset_importance | business_impact,Higher risk score,risk_score,INC-0014,0.51
111,INC-0014,21.55,LOW,LOW,Port Scan Event,1,1,2026-09-01T09:20:16+00:00,,attack_confidence | severity | asset_importance,Lowest priority item in queue,,,
